AREAS,SLUG,COLOR,ICON,DESCRIP,TIPO,EVALDIM,INDICADOR,FUENTE,
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Discapacidad,Prevalencia de población en situación de discapacidad,Construcción por cada país. Ejemplo: Chile Encuesta de Discapacidad y Dependencia 2022,
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Soporte social (cohesión social),"PENDIENTE (indicador de soporte social, nivel comunitario)",PENDIENTE,
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Soporte social (cohesión social),Población que manifiesta su desconfianza en las instituciones políticas y del estado,CEPALSTAT,Sexo
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Soporte social (cohesión social),Proporción de la población que cree que la toma de decisiones es inclusiva y da respuestas,Base de datos de indicadores de los ODS de la ONU,"Sexo, edad, discapacidad y grupo de población"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,"Delincuencia, conflictos, violencia y seguridad",Número de víctimas de homicidio intencionado por cada 100.000 habitantes,Base de datos de indicadores de los ODS de la ONU,"Sexo, edad"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,"Delincuencia, conflictos, violencia y seguridad",Muertes relacionadas con conflictos por cada 100.000 habitantes,Base de datos de indicadores de los ODS de la ONU,"Sexo, edad y causa"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,"Delincuencia, conflictos, violencia y seguridad",Proporción de la población sometida a violencia física en los 12 meses,Base de datos de indicadores de los ODS de la ONU,"Sexo, edad, ingresos, educación, ciudadanía, origen étnico"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,"Delincuencia, conflictos, violencia y seguridad",Proporción de la población sometida a violencia psicológica en los 12 meses,Base de datos de indicadores de los ODS de la ONU,"Sexo, edad, ingresos, educación, ciudadanía, origen étnico"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,"Delincuencia, conflictos, violencia y seguridad",Proporción de la población sometida a violencia sexual en los 12 meses,Base de datos de indicadores de los ODS de la ONU,"Sexo, edad, ingresos, educación, ciudadanía, origen étnico"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,"Delincuencia, conflictos, violencia y seguridad",Proporción de la población que se siente segura caminando sola por la zona en la que vive al anochecer,Base de datos de indicadores de los ODS de la ONU,"Edad, Sexo, Discapacidad, Origen étnico, Origen migratorio, Ciudadanía"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,"Delincuencia, conflictos, violencia y seguridad",Proporción de mujeres y hombres jóvenes de 18 a 29 años que han sufrido violencia sexual a la edad de 18 años,Base de datos de indicadores de los ODS de la ONU,N/A
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Determinantes sociales,Discriminación,Población que declara haberse sentido discriminada,Base de datos de indicadores de los ODS de la ONU,"Sexo, discapacidad, motivos de discriminación"
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Políticas ,Género,Proporción de escaños ocupados por mujeres en los parlamentos locales (%),Base de datos de indicadores de los ODS de la ONU,N/A
Contexto social y comunitario,comunidad,#385495,flowbite:users-group-outline,"Explora las relaciones sociales, la cohesión comunitaria, la participación ciudadana, así como situaciones de violencia, discriminación, migración forzada y privación de libertad. También incluye indicadores de empoderamiento de género y envejecimiento saludable. Esta dimensión es clave para comprender cómo las redes sociales y el entorno social afectan el bienestar emocional y físico de las personas.",Políticas ,Género,Proporción de escaños ocupados por mujeres en los parlamentos nacionales,Base de datos de indicadores de los ODS de la ONU,N/A
Conductas relacionadas con la salud,salud,#6fabc2,flowbite:heart-outline,"Incluye factores como el consumo de alcohol y tabaco, la actividad física, la nutrición y los patrones alimentarios. Estos comportamientos están fuertemente influenciados por el entorno social y económico, y no solo por decisiones individuales. El monitoreo permite evaluar cómo las políticas de promoción de la salud y prevención de enfermedades impactan en estos hábitos.",Determinantes sociales,Alcohol,Consumo masivo de alcohol en litros,Base de datos de indicadores de los ODS de la ONU,"Sexo, edad"
Conductas relacionadas con la salud,salud,#6fabc2,flowbite:heart-outline,"Incluye factores como el consumo de alcohol y tabaco, la actividad física, la nutrición y los patrones alimentarios. Estos comportamientos están fuertemente influenciados por el entorno social y económico, y no solo por decisiones individuales. El monitoreo permite evaluar cómo las políticas de promoción de la salud y prevención de enfermedades impactan en estos hábitos.",Determinantes sociales,Tabaco,Prevalencia estandarizada por edad del consumo actual de tabaco entre las personas de 15 años o más,Base de datos de indicadores de los ODS de la ONU,Sexo
Conductas relacionadas con la salud,salud,#6fabc2,flowbite:heart-outline,"Incluye factores como el consumo de alcohol y tabaco, la actividad física, la nutrición y los patrones alimentarios. Estos comportamientos están fuertemente influenciados por el entorno social y económico, y no solo por decisiones individuales. El monitoreo permite evaluar cómo las políticas de promoción de la salud y prevención de enfermedades impactan en estos hábitos.",Determinantes sociales,Alimentación,Prevalencia de la subnutrición,Base de datos de indicadores de los ODS de la ONU,Lugar de residencia (rural/urbano)
Conductas relacionadas con la salud,salud,#6fabc2,flowbite:heart-outline,"Incluye factores como el consumo de alcohol y tabaco, la actividad física, la nutrición y los patrones alimentarios. Estos comportamientos están fuertemente influenciados por el entorno social y económico, y no solo por decisiones individuales. El monitoreo permite evaluar cómo las políticas de promoción de la salud y prevención de enfermedades impactan en estos hábitos.",Determinantes sociales,Alimentación,Prevalencia de inseguridad alimentaria grave en la población adulta,Base de datos de indicadores de los ODS de la ONU,"Lugar de residencia, Sexo"
Conductas relacionadas con la salud,salud,#6fabc2,flowbite:heart-outline,"Incluye factores como el consumo de alcohol y tabaco, la actividad física, la nutrición y los patrones alimentarios. Estos comportamientos están fuertemente influenciados por el entorno social y económico, y no solo por decisiones individuales. El monitoreo permite evaluar cómo las políticas de promoción de la salud y prevención de enfermedades impactan en estos hábitos.",Determinantes sociales,Alimentación,Adopción del etiquetado frontal,Pendiente,N/A
Conductas relacionadas con la salud,salud,#6fabc2,flowbite:heart-outline,"Incluye factores como el consumo de alcohol y tabaco, la actividad física, la nutrición y los patrones alimentarios. Estos comportamientos están fuertemente influenciados por el entorno social y económico, y no solo por decisiones individuales. El monitoreo permite evaluar cómo las políticas de promoción de la salud y prevención de enfermedades impactan en estos hábitos.",Determinantes sociales,Obesidad,Prevalencia de obesidad IMC>30,OMS,"Edad, sexo, zona de residencia (rural/urbana)"
Conductas relacionadas con la salud,salud,#6fabc2,flowbite:heart-outline,"Incluye factores como el consumo de alcohol y tabaco, la actividad física, la nutrición y los patrones alimentarios. Estos comportamientos están fuertemente influenciados por el entorno social y económico, y no solo por decisiones individuales. El monitoreo permite evaluar cómo las políticas de promoción de la salud y prevención de enfermedades impactan en estos hábitos.",Determinantes sociales,Actividad física,Prevalencia de actividad física insuficiente entre adultos mayores de 18 años (estimación bruta) (%),OMS,Sexo
Conductas relacionadas con la salud,salud,#6fabc2,flowbite:heart-outline,"Incluye factores como el consumo de alcohol y tabaco, la actividad física, la nutrición y los patrones alimentarios. Estos comportamientos están fuertemente influenciados por el entorno social y económico, y no solo por decisiones individuales. El monitoreo permite evaluar cómo las políticas de promoción de la salud y prevención de enfermedades impactan en estos hábitos.",Determinantes sociales,Lesiones de tráfico,Tasa de mortalidad por lesiones de tráfico,Base de datos de indicadores de los ODS de la ONU,"Sexo, grupo de edad"
Sistema de atención de salud,sistema,#7a00c2,icons8:doctor,"Evalúa el acceso, la disponibilidad, la asequibilidad y la calidad de los servicios de salud, incluyendo cobertura de medicamentos, personal de salud, infraestructura y gasto de bolsillo. Esta área es fundamental para analizar si el sistema de salud responde de manera equitativa a las necesidades de la población y si las políticas de cobertura universal son efectivas.",Determinantes sociales,Gasto,Proporción de la población con grandes gastos familiares en sanidad (superiores al 25%) en relación con el total de gastos o ingresos familiares,OMS,"Edad, sexo, residencia (rural/urbana), bienestar del hogar"
Sistema de atención de salud,sistema,#7a00c2,icons8:doctor,"Evalúa el acceso, la disponibilidad, la asequibilidad y la calidad de los servicios de salud, incluyendo cobertura de medicamentos, personal de salud, infraestructura y gasto de bolsillo. Esta área es fundamental para analizar si el sistema de salud responde de manera equitativa a las necesidades de la población y si las políticas de cobertura universal son efectivas.",Determinantes sociales,Gasto,Proporción de la población con grandes gastos familiares en sanidad (superiores al 10%) en relación con el total de gastos o ingresos familiares,OMS,"Edad, sexo, residencia (rural/urbana), bienestar del hogar"
Sistema de atención de salud,sistema,#7a00c2,icons8:doctor,"Evalúa el acceso, la disponibilidad, la asequibilidad y la calidad de los servicios de salud, incluyendo cobertura de medicamentos, personal de salud, infraestructura y gasto de bolsillo. Esta área es fundamental para analizar si el sistema de salud responde de manera equitativa a las necesidades de la población y si las políticas de cobertura universal son efectivas.",Determinantes sociales,Cobertura,Cobertura de los servicios de salud esenciales (Índice de cobertura univerdal de salud CUS),Base de datos de indicadores de los ODS de la ONU,Rural/urbana
